CPV 2007_Indicadores_20220822181815287,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pais,Departamento,Provincia,Tema,Demográfico,Demográfico,Demográfico,Demográfico,Demográfico,Hogar,Hogar,Hogar,Hogar,Hogar,Social,Social,Social,Social,Social
 , , ,Sub Tema,Migración,Migración,Migración,Migración,Migración,Tipo Hogar,Tipo Hogar,Tipo Hogar,Tipo Hogar,Tipo Hogar,Seguro de Salud,Seguro de Salud,Seguro de Salud,Seguro de Salud,Seguro de Salud
 , , ,Descripcion,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro
 , , ,Clase,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer
 , , ,Indicadores,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor
Perú,Cusco,La Convención, ,15.39,-,-,17.35,13.21,16.81,19.31,15.65,-,-,57.1,43.67,62.83,54.76,59.73
Perú,Cusco,Paruro, ,6.19,-,-,6.93,5.42,16.34,20.9,13.73,-,-,67.68,57.66,72.87,66.91,68.47
Perú,Cusco,Paucartambo, ,5.52,-,-,6.35,4.69,13.39,17.92,12.29,-,-,66.27,46.66,70.74,64.75,67.82
Perú,Cusco,Quispicanchi, ,12.03,-,-,15.15,8.91,12.97,14.02,12.38,-,-,60.13,45.08,68.3,58.3,62
Perú,Cusco,Urubamba, ,17.34,-,-,18.6,16.05,12.98,14.93,11.19,-,-,44.1,41.24,46.84,44.15,44.06
Perú,Huancavelica,Acobamba, ,4.85,-,-,5.22,4.49,13.3,16.32,11.88,-,-,51.94,48.45,53.45,51.63,52.24
Perú,Huancavelica,Angaraes, ,6.68,-,-,7.25,6.14,16.75,21.72,14.44,-,-,47.88,47.49,48.03,48.87,46.92
Perú,Huancavelica,Castrovirreyna, ,20.52,-,-,29.69,10.96,32.42,36.79,30.36,-,-,50.36,58.49,46.64,52.41,48.12
Perú,Huancavelica,Churcampa, ,7.61,-,-,9.29,5.99,16.67,19.88,15.72,-,-,47.33,49.89,46.58,48.25,46.44
Perú,Huancavelica,Huancavelica, ,7.38,-,-,8.47,6.35,15.74,17.65,14.26,-,-,47.76,47.66,47.82,48.57,46.98
Perú,Huancavelica,Huaytará, ,14.34,-,-,19.82,8.48,27.58,27.01,27.81,-,-,44.01,42.34,44.69,46.99,40.68
Perú,Huancavelica,Tayacaja, ,5.83,-,-,6.91,4.77,14.05,15.61,13.53,-,-,45.19,42.98,45.9,45.27,45.1
Perú,Huánuco,Ambo, ,7.43,-,-,7.5,7.36,12.09,13.39,11.42,-,-,57.34,49.99,61,55.47,59.22
Perú,Huánuco,Dos de Mayo, ,6.55,-,-,7.13,5.98,12.33,15.37,10.49,-,-,54.44,54.54,54.39,52.94,55.93
Perú,Huánuco,Huacaybamba, ,6.67,-,-,7.65,5.71,9.6,15.75,8.12,-,-,54.96,56.43,54.63,54.14,55.78
Perú,Huánuco,Huamalíes, ,7.93,-,-,8.91,6.93,12.27,12.78,12.06,-,-,52.23,54.97,51.15,50.08,54.43
Perú,Huánuco,Huánuco, ,16.23,-,-,16.49,15.98,10.42,11.12,9.29,-,-,51.8,46.98,59.17,50.33,53.24
Perú,Huánuco,Lauricocha, ,10.37,-,-,15.53,4.98,11.76,16.72,10.02,-,-,63.38,66.84,62.38,62.38,64.46
Perú,Huánuco,Leoncio Prado, ,27.72,-,-,29.85,25.39,15.82,12.82,19.74,-,-,38.94,38.64,39.38,37.6,40.41
Perú,Huánuco,Marañón, ,12.37,-,-,14.82,9.78,11.44,11.2,11.49,-,-,60.26,61.94,59.96,58,62.64
Perú,Huánuco,Pachitea, ,3.65,-,-,4.17,3.13,8.31,11.67,7.67,-,-,56.5,48.9,57.76,54.12,58.91
Perú,Huánuco,Puerto Inca, ,27.15,-,-,28.6,25.4,12.68,9.87,13.36,-,-,41.78,42.99,41.48,38.98,45.17
Perú,Huánuco,Yarowilca, ,3.78,-,-,3.92,3.66,15.38,17.15,14.79,-,-,67.38,64.45,68.33,65.13,69.48
Perú,Ica,Chincha, ,11.89,-,-,12.95,10.88,9.98,9.64,12.57,-,-,44.57,44.83,42.53,45.65,43.51
Perú,Ica,Ica, ,17.68,-,-,18.48,16.92,10.84,10.3,16.18,-,-,44.79,44.57,47.15,44.66,44.91
Perú,Ica,Nazca, ,26.26,-,-,29.06,23.34,17.23,16.6,21.35,-,-,38.55,39.52,31.55,39.72,37.31
Perú,Ica,Palpa, ,14.54,-,-,14.71,14.36,16.39,13.88,20.83,-,-,43.25,45.22,39.42,41.73,44.84
Perú,Ica,Pisco, ,12.4,-,-,14.4,10.34,12.95,12.86,13.52,-,-,37.18,39.26,22.46,38.95,35.35
Perú,Junín,Chanchamayo, ,18.57,-,-,19.12,17.95,16.05,13.53,19.13,-,-,27.63,27.4,27.94,27.08,28.25
Perú,Junín,Chupaca, ,17.77,-,-,21.43,14.4,12.62,11.86,13.74,-,-,21.08,23.9,16.8,22.13,20.11
Perú,Junín,Concepción, ,13.55,-,-,15.85,11.4,12.39,12.28,12.5,-,-,27.02,29.06,24.9,28.28,25.83
Perú,Junín,Huancayo, ,22.34,-,-,22.59,22.11,10.5,9.95,14.5,-,-,30.53,30.89,27.79,30.97,30.13
Perú,Junín,Jauja, ,12.35,-,-,13.44,11.35,16.08,15.82,16.69,-,-,29.17,31.13,24.71,30.22,28.2
Perú,Junín,Junín, ,7.21,-,-,8.05,6.43,22.93,19.61,29.8,-,-,31.28,33.57,25.89,32.95,29.72
Perú,Junín,Satipo, ,19.38,-,-,21.52,16.91,10.38,11.12,10.07,-,-,30.43,26.88,31.78,28.95,32.14
Perú,Junín,Tarma, ,9.7,-,-,10.43,9.01,12.59,11.62,14.34,-,-,24.75,26.95,20.73,25.11,24.4
Perú,Junín,Yauli, ,33.78,-,-,40.82,26.16,22.12,19.46,37.83,-,-,55.92,58.35,38.19,59.56,51.8
Perú,La Libertad,Ascope, ,11.97,-,-,12.9,11.04,9.96,9.84,10.81,-,-,52.43,54.29,38.85,52.18,52.67
Perú,La Libertad,Bolívar, ,8.1,-,-,8.08,8.12,11.14,11.83,10.73,-,-,58.11,58.88,57.7,55.58,60.81
Perú,La Libertad,Chepén, ,20.37,-,-,21.17,19.58,9.97,9.84,10.61,-,-,37.49,39.19,29.85,36.06,38.91
Perú,La Libertad,Gran Chimú, ,10.84,-,-,12.37,9.06,14.52,14.81,14.43,-,-,42.43,49.16,40.58,41.43,43.6
Perú,La Libertad,Julcán, ,2.27,-,-,2.26,2.27,11.04,16.95,9.84,-,-,58.67,53.01,59.65,55.19,62.16
Perú,La Libertad,Otuzco, ,3.96,-,-,4.02,3.89,12.44,16.58,10.96,-,-,40.73,37.74,41.66,39.3,42.18
Perú,La Libertad,Pacasmayo, ,18.27,-,-,19.39,17.19,10.39,10.33,11.1,-,-,40.02,41.03,26.73,39.91,40.13
Perú,La Libertad,Pataz, ,16.61,-,-,23.82,8.72,10.84,13.32,9.85,-,-,38.26,39.98,37.65,41.01,35.15
Perú,La Libertad,Sánchez Carrión, ,5.01,-,-,5.5,4.56,7.53,7.64,7.49,-,-,45.2,38.16,47.79,44.73,45.65
Perú,La Libertad,Santiago de Chuco, ,12.88,-,-,17.96,7.71,10.44,11.92,9.58,-,-,46.75,50.76,44.66,48.19,45.25
Perú,La Libertad,Trujillo, ,21.82,-,-,21.75,21.88,8.5,8.45,10.56,-,-,39.16,39.26,34.93,38.91,39.39
Perú,La Libertad,Virú, ,43.12,-,-,44.73,41.39,11.91,11.82,12.19,-,-,42.08,46.53,27.17,44.22,39.79
Perú,Lambayeque,Chiclayo, ,17.74,-,-,17.83,17.66,7.89,7.85,8.58,-,-,44.26,44.46,41.35,43.18,45.27
Perú,Lambayeque,Ferreñafe, ,10.29,-,-,10.39,10.19,8.82,9.24,8.29,-,-,49.7,45.67,54.38,47.62,51.74
